season,team,home_wins,away_wins,total_wins
2013/2014,Bayer 04 Leverkusen,10,9,19
2013/2014,Estoril Praia,6,9,15
2013/2014,Grasshopper Club Zürich,10,9,19
2013/2014,Motherwell,13,9,22
2013/2014,Olympique Lyonnais,8,9,17
2014/2015,Ajax,12,9,21
2014/2015,Atlético Madrid,14,9,23
2014/2015,FC Zürich,6,9,15
2014/2015,Fiorentina,9,9,18
2014/2015,Inverness Caledonian Thistle,10,9,19
2014/2015,Paris Saint-Germain,15,9,24
2014/2015,Roma,10,9,19
2014/2015,Tottenham Hotspur,10,9,19
2015/2016,Legia Warszawa,8,9,17
2015/2016,Napoli,16,9,25
2015/2016,Tottenham Hotspur,10,9,19
2008/2009,AJ Auxerre,8,8,16
2008/2009,Ajax,13,8,21
2008/2009,Bayer 04 Leverkusen,6,8,14
2008/2009,FC Bayern Munich,12,8,20
2008/2009,FC Twente,12,8,20
2008/2009,GKS Bełchatów,9,8,17
2008/2009,KAA Gent,9,8,17
2008/2009,KRC Genk,7,8,15
2008/2009,Milan,14,8,22
2008/2009,P. Warszawa,7,8,15
2008/2009,PSV,11,8,19
2008/2009,SL Benfica,9,8,17
2009/2010,AZ,11,8,19
2009/2010,Arsenal,15,8,23
2009/2010,FC Bayern Munich,12,8,20
2009/2010,FC Schalke 04,11,8,19
2009/2010,Feyenoord,9,8,17
2009/2010,Milan,12,8,20
2009/2010,Montpellier Hérault SC,12,8,20
2009/2010,Olympique Lyonnais,12,8,20
2009/2010,SC Braga,14,8,22
2009/2010,Valencia CF,13,8,21
2010/2011,Arsenal,11,8,19
2010/2011,FC Basel,13,8,21
2010/2011,Inter,15,8,23
2010/2011,KRC Genk,11,8,19
2010/2011,LOSC Lille,13,8,21
2010/2011,Manchester City,13,8,21
2010/2011,Olympique de Marseille,10,8,18
2010/2011,PSV,12,8,20
2010/2011,RSC Anderlecht,11,8,19
2011/2012,Borussia Mönchengladbach,9,8,17
2011/2012,Dundee United,8,8,16
2011/2012,FC Twente,9,8,17
2011/2012,Liverpool,6,8,14
2011/2012,Newcastle United,11,8,19
2011/2012,St. Johnstone FC,6,8,14
2011/2012,Widzew Łódź,6,8,14
2011/2012,Śląsk Wrocław,9,8,17
2012/2013,FC Utrecht,11,8,19
2012/2013,Fiorentina,13,8,21
2012/2013,Inter,8,8,16
2012/2013,Legia Warszawa,12,8,20
2012/2013,Milan,13,8,21
2012/2013,Olympique Lyonnais,11,8,19
2012/2013,PSV,14,8,22
2012/2013,Piast Gliwice,5,8,13
2012/2013,RSC Anderlecht,12,8,20
2012/2013,Real Sociedad,10,8,18
2012/2013,Roma,10,8,18
2013/2014,AS Saint-Étienne,12,8,20
2013/2014,Everton,13,8,21
2013/2014,FC Basel,11,8,19
2013/2014,FC Twente,9,8,17
2013/2014,FC Zürich,6,8,14
2013/2014,Feyenoord,12,8,20
2013/2014,Inverness Caledonian Thistle,8,8,16
2013/2014,Legia Warszawa,12,8,20
2013/2014,RC Celta de Vigo,6,8,14
2013/2014,Villarreal CF,9,8,17
2014/2015,KV Kortrijk,8,8,16
2014/2015,Lazio,12,8,20
2014/2015,Liverpool,10,8,18
2014/2015,Olympique Lyonnais,14,8,22
2014/2015,Olympique de Marseille,13,8,21
2014/2015,RSC Anderlecht,8,8,16
2014/2015,St. Johnstone FC,8,8,16
2014/2015,Standard de Liège,8,8,16
2014/2015,Vitesse,8,8,16
2015/2016,AZ,10,8,18
2015/2016,Arsenal,12,8,20
2015/2016,BSC Young Boys,12,8,20
2015/2016,Bayer 04 Leverkusen,10,8,18
2015/2016,Feyenoord,11,8,19
2015/2016,Liverpool,8,8,16
2015/2016,RC Celta de Vigo,9,8,17
2015/2016,Sassuolo,8,8,16
2015/2016,St. Johnstone FC,8,8,16
2008/2009,1. FC Köln,4,7,11
2008/2009,Atlético Madrid,13,7,20
2008/2009,Borussia Dortmund,8,7,15
2008/2009,CD Nacional,8,7,15
2008/2009,Club Brugge KV,11,7,18
2008/2009,Fiorentina,14,7,21
2008/2009,Genoa,12,7,19
