season,team,home_wins,away_wins,total_wins
2014/2015,PEC Zwolle,11,5,16
2014/2015,RC Celta de Vigo,8,5,13
2014/2015,RCD Espanyol,8,5,13
2014/2015,Ross County FC,7,5,12
2014/2015,SC Heerenveen,8,5,13
2014/2015,SM Caen,7,5,12
2014/2015,Sassuolo,7,5,12
2014/2015,Stade Rennais FC,8,5,13
2014/2015,Stoke City,10,5,15
2014/2015,UD Almería,3,5,8
2014/2015,Vitória Guimarães,10,5,15
2014/2015,Willem II,8,5,13
2014/2015,Wisła Kraków,6,5,11
2015/2016,1. FC Köln,5,5,10
2015/2016,Cracovia,7,5,12
2015/2016,Crystal Palace,6,5,11
2015/2016,Dundee United,3,5,8
2015/2016,Empoli,7,5,12
2015/2016,En Avant de Guingamp,6,5,11
2015/2016,Everton,6,5,11
2015/2016,FC Arouca,8,5,13
2015/2016,Heracles Almelo,9,5,14
2015/2016,Hertha BSC Berlin,9,5,14
2015/2016,Kilmarnock,4,5,9
2015/2016,Lazio,10,5,15
2015/2016,Montpellier Hérault SC,9,5,14
2015/2016,Piast Gliwice,12,5,17
2015/2016,Pogoń Szczecin,5,5,10
2015/2016,RSC Anderlecht,10,5,15
2015/2016,Real Betis Balompié,6,5,11
2015/2016,Rio Ave FC,9,5,14
2015/2016,Roda JC Kerkrade,3,5,8
2015/2016,Ross County FC,9,5,14
2015/2016,Ruch Chorzów,6,5,11
2015/2016,SC Braga,11,5,16
2015/2016,SC Heerenveen,6,5,11
2015/2016,SV Werder Bremen,5,5,10
2015/2016,SV Zulte-Waregem,7,5,12
2015/2016,Sporting Charleroi,5,5,10
2015/2016,Sporting Lokeren,3,5,8
2015/2016,Tondela,3,5,8
2015/2016,Valencia CF,6,5,11
2015/2016,Vitesse,7,5,12
2015/2016,Waasland-Beveren,4,5,9
2015/2016,Wisła Kraków,3,5,8
2008/2009,AS Monaco,7,4,11
2008/2009,Blackburn Rovers,6,4,10
2008/2009,Bolton Wanderers,7,4,11
2008/2009,Cagliari,11,4,15
2008/2009,FC Nantes,5,4,9
2008/2009,FCV Dender EH,5,4,9
2008/2009,Feyenoord,8,4,12
2008/2009,Grasshopper Club Zürich,8,4,12
2008/2009,Grenoble Foot 38,6,4,10
2008/2009,KV Kortrijk,5,4,9
2008/2009,Le Mans FC,6,4,10
2008/2009,N.E.C.,5,4,9
2008/2009,Piast Gliwice,5,4,9
2008/2009,Polonia Bytom,13,4,17
2008/2009,RC Recreativo,4,4,8
2008/2009,RCD Espanyol,8,4,12
2008/2009,Real Valladolid,8,4,12
2008/2009,Stade Rennais FC,11,4,15
2008/2009,Tottenham Hotspur,10,4,14
2008/2009,Vitesse,7,4,11
2008/2009,Widzew Łódź,6,4,10
2008/2009,Wigan Athletic,8,4,12
2008/2009,Willem II,6,4,10
2009/2010,AS Monaco,11,4,15
2009/2010,Aberdeen,6,4,10
2009/2010,Académica de Coimbra,4,4,8
2009/2010,Athletic Club de Bilbao,11,4,15
2009/2010,Bayer 04 Leverkusen,11,4,15
2009/2010,Bolton Wanderers,6,4,10
2009/2010,CA Osasuna,7,4,11
2009/2010,CS Marítimo,7,4,11
2009/2010,Cagliari,7,4,11
2009/2010,Cracovia,5,4,9
2009/2010,FC Paços de Ferreira,4,4,8
2009/2010,Fiorentina,9,4,13
2009/2010,GKS Bełchatów,9,4,13
2009/2010,Hannover 96,5,4,9
2009/2010,Heart of Midlothian,9,4,13
2009/2010,Hertha BSC Berlin,1,4,5
2009/2010,KRC Genk,4,4,8
2009/2010,KV Mechelen,8,4,12
2009/2010,NAC Breda,8,4,12
2009/2010,Naval 1° de Maio,6,4,10
2009/2010,OGC Nice,7,4,11
2009/2010,Parma,10,4,14
2009/2010,RC Deportivo de La Coruña,9,4,13
2009/2010,SC Freiburg,5,4,9
2009/2010,SC Heerenveen,7,4,11
2009/2010,Stade Rennais FC,10,4,14
2009/2010,Standard de Liège,6,4,10
2009/2010,Stoke City,7,4,11
2009/2010,Toulouse FC,8,4,12
2009/2010,"União de Leiria, SAD",5,4,9
2009/2010,VfL Bochum,2,4,6
2009/2010,Vitória Guimarães,7,4,11
2009/2010,Wolverhampton Wanderers,5,4,9
2010/2011,1. FC Nürnberg,9,4,13
2010/2011,AJ Auxerre,6,4,10
2010/2011,AS Monaco,5,4,9
2010/2011,Aston Villa,8,4,12
2010/2011,Blackburn Rovers,7,4,11
2010/2011,Bologna,7,4,11
2010/2011,CD Nacional,7,4,11
2010/2011,CS Marítimo,5,4,9
2010/2011,Cagliari,8,4,12
2010/2011,Cesena,7,4,11
2010/2011,Dundee United,13,4,17
2010/2011,Eintracht Frankfurt,5,4,9
2010/2011,Everton,9,4,13
2010/2011,FC Lorient,8,4,12
2010/2011,FC Paços de Ferreira,6,4,10
2010/2011,FC Schalke 04,7,4,11
2010/2011,FC St. Pauli,4,4,8
2010/2011,Genoa,10,4,14
2010/2011,Girondins de Bordeaux,8,4,12
2010/2011,Hamilton Academical FC,1,4,5
2010/2011,KSV Cercle Brugge,7,4,11
2010/2011,Lecce,7,4,11
2010/2011,Lechia Gdańsk,8,4,12
2010/2011,Neuchâtel Xamax,4,4,8
2010/2011,Parma,7,4,11
2010/2011,RCD Espanyol,11,4,15
2010/2011,Racing Santander,8,4,12
2010/2011,Rio Ave FC,6,4,10
2010/2011,Ruch Chorzów,6,4,10
2010/2011,SC Braga,9,4,13
2010/2011,SV Werder Bremen,6,4,10
2010/2011,Sporting Lokeren,9,4,13
2010/2011,St. Mirren,4,4,8
2010/2011,TSG 1899 Hoffenheim,7,4,11
2010/2011,VfL Wolfsburg,5,4,9
2010/2011,West Bromwich Albion,8,4,12
2010/2011,Widzew Łódź,7,4,11
2010/2011,Wigan Athletic,5,4,9
2011/2012,Atalanta,9,4,13
2011/2012,Athletic Club de Bilbao,8,4,12
2011/2012,Atlético Madrid,11,4,15
2011/2012,Bologna,7,4,11
2011/2012,Dunfermline Athletic,1,4,5
2011/2012,FC Paços de Ferreira,4,4,8
2011/2012,FC Utrecht,7,4,11
2011/2012,Fiorentina,6,4,10
2011/2012,Fulham,10,4,14
2011/2012,Getafe CF,8,4,12
2011/2012,Granada CF,8,4,12
2011/2012,Heart of Midlothian,11,4,15
2011/2012,Heracles Almelo,7,4,11
2011/2012,KV Kortrijk,9,4,13
2011/2012,Kilmarnock,7,4,11
2011/2012,Lech Poznań,11,4,15
2011/2012,Lechia Gdańsk,3,4,7
2011/2012,Málaga CF,13,4,17
2011/2012,Neuchâtel Xamax,3,4,7
2011/2012,Olympique de Marseille,8,4,12
2011/2012,P. Warszawa,9,4,13
2011/2012,RKC Waalwijk,9,4,13
2011/2012,Real Zaragoza,8,4,12
2011/2012,Roda JC Kerkrade,10,4,14
2011/2012,SC Beira Mar,4,4,8
2011/2012,SC Freiburg,6,4,10
2011/2012,Sevilla FC,9,4,13
2011/2012,Standard de Liège,10,4,14
2011/2012,Stoke City,7,4,11
2011/2012,Sunderland,7,4,11
2011/2012,Swansea City,8,4,12
2011/2012,Évian Thonon Gaillard FC,9,4,13
2012/2013,1. FC Nürnberg,7,4,11
2012/2013,AS Nancy-Lorraine,5,4,9
2012/2013,Athletic Club de Bilbao,8,4,12
2012/2013,Borussia Mönchengladbach,8,4,12
2012/2013,Cagliari,8,4,12
2012/2013,Estoril Praia,9,4,13
2012/2013,Everton,12,4,16
2012/2013,FC Lorient,10,4,14
2012/2013,FC Luzern,6,4,10
2012/2013,FC Sochaux-Montbéliard,6,4,10
2012/2013,Fulham,7,4,11
2012/2013,Getafe CF,9,4,13
2012/2013,Hannover 96,9,4,13
2012/2013,Jagiellonia Białystok,4,4,8
2012/2013,KV Kortrijk,7,4,11
2012/2013,Levante UD,8,4,12
2012/2013,Montpellier Hérault SC,11,4,15
2012/2013,Parma,9,4,13
2012/2013,Real Valladolid,7,4,11
2012/2013,Real Zaragoza,5,4,9
2012/2013,Ruch Chorzów,4,4,8
2012/2013,SC Bastia,9,4,13
2012/2013,SpVgg Greuther Fürth,0,4,4
2012/2013,Sporting CP,7,4,11
2012/2013,Sporting Charleroi,6,4,10
2012/2013,Sunderland,5,4,9
2012/2013,Wisła Kraków,6,4,10
2012/2013,Zagłębie Lubin,7,4,11
2012/2013,Évian Thonon Gaillard FC,6,4,10
2012/2013,Śląsk Wrocław,9,4,13
2013/2014,ADO Den Haag,8,4,12
2013/2014,Académica de Coimbra,5,4,9
2013/2014,Aston Villa,6,4,10
2013/2014,Atalanta,11,4,15
2013/2014,CA Osasuna,6,4,10
2013/2014,CD Nacional,7,4,11
2013/2014,Chievo Verona,6,4,10
2013/2014,Eintracht Frankfurt,5,4,9
2013/2014,FC Lausanne-Sports,3,4,7
2013/2014,FC Thun,9,4,13
2013/2014,Fulham,5,4,9
2013/2014,Hannover 96,8,4,12
2013/2014,Heart of Midlothian,6,4,10
2013/2014,Hibernian,4,4,8
2013/2014,Jagiellonia Białystok,6,4,10
2013/2014,Kilmarnock,7,4,11
2013/2014,Lech Poznań,11,4,15
2013/2014,Lechia Gdańsk,6,4,10
2013/2014,Málaga CF,8,4,12
2013/2014,PEC Zwolle,5,4,9
2013/2014,Piast Gliwice,4,4,8
2013/2014,Polonia Bytom,7,4,11
2013/2014,RCD Espanyol,7,4,11
2013/2014,SV Werder Bremen,6,4,10
2013/2014,Sassuolo,5,4,9
2013/2014,TSG 1899 Hoffenheim,7,4,11
2013/2014,West Ham United,7,4,11
2013/2014,Évian Thonon Gaillard FC,7,4,11
2014/2015,Borussia Dortmund,9,4,13
2014/2015,CS Marítimo,8,4,12
2014/2015,Cagliari,4,4,8
2014/2015,FC Groningen,7,4,11
2014/2015,FC Nantes,7,4,11
2014/2015,FC Paços de Ferreira,8,4,12
2014/2015,FC Sion,8,4,12
2014/2015,FC Vaduz,3,4,7
2014/2015,Getafe CF,6,4,10
2014/2015,Grasshopper Club Zürich,7,4,11
2014/2015,Hellas Verona,7,4,11
2014/2015,Kilmarnock,7,4,11
2014/2015,Korona Kielce,6,4,10
2014/2015,Lech Poznań,10,4,14
2014/2015,Leicester City,7,4,11
2014/2015,Milan,9,4,13
2014/2015,Palermo,8,4,12
2014/2015,Partick Thistle F.C.,8,4,12
2014/2015,Podbeskidzie Bielsko-Biała,6,4,10
2014/2015,Rio Ave FC,6,4,10
2014/2015,SC Bastia,8,4,12
2014/2015,SD Eibar,5,4,9
2014/2015,SV Zulte-Waregem,4,4,8
2014/2015,Stade de Reims,8,4,12
2014/2015,Toulouse FC,8,4,12
2014/2015,Udinese,6,4,10
2014/2015,VfB Stuttgart,5,4,9
2014/2015,Villarreal CF,12,4,16
2014/2015,West Bromwich Albion,7,4,11
2014/2015,Évian Thonon Gaillard FC,7,4,11
2015/2016,Boavista FC,4,4,8
2015/2016,Borussia Mönchengladbach,13,4,17
2015/2016,CF Os Belenenses,6,4,10
2015/2016,Dundee FC,7,4,11
2015/2016,Estoril Praia,9,4,13
2015/2016,FC Groningen,10,4,14
2015/2016,FC Lorient,7,4,11
2015/2016,FC Nantes,8,4,12
2015/2016,FC Thun,6,4,10
2015/2016,FC Vaduz,3,4,7
2015/2016,Girondins de Bordeaux,8,4,12
2015/2016,Granada CF,6,4,10
2015/2016,Jagiellonia Białystok,6,4,10
2015/2016,KV Oostende,10,4,14
2015/2016,Málaga CF,8,4,12
2015/2016,PEC Zwolle,10,4,14
2015/2016,Palermo,6,4,10
2015/2016,RC Deportivo de La Coruña,4,4,8
2015/2016,Royal Excel Mouscron,3,4,7
2015/2016,Sint-Truidense VV,4,4,8
2015/2016,Standard de Liège,8,4,12
2015/2016,Swansea City,8,4,12
2015/2016,UD Las Palmas,8,4,12
2015/2016,Udinese,6,4,10
2015/2016,Vitória Guimarães,5,4,9
2015/2016,Vitória Setúbal,2,4,6
2015/2016,West Bromwich Albion,6,4,10
2008/2009,AC Bellinzona,8,3,11
2008/2009,ADO Den Haag,5,3,8
2008/2009,Atalanta,10,3,13
2008/2009,Athletic Club de Bilbao,9,3,12
2008/2009,Bologna,6,3,9
2008/2009,Borussia Mönchengladbach,5,3,8
2008/2009,CS Marítimo,6,3,9
2008/2009,Eintracht Frankfurt,5,3,8
2008/2009,FC Sion,6,3,9
2008/2009,FC Utrecht,8,3,11
2008/2009,Falkirk,6,3,9
2008/2009,Fulham,11,3,14
2008/2009,Getafe CF,7,3,10
2008/2009,Karlsruher SC,5,3,8
2008/2009,Le Havre AC,4,3,7
2008/2009,Neuchâtel Xamax,7,3,10
2008/2009,Odra Wodzisław,5,3,8
2008/2009,Palermo,14,3,17
2008/2009,Reggio Calabria,3,3,6
2008/2009,Royal Excel Mouscron,9,3,12
2008/2009,Ruch Chorzów,6,3,9
2008/2009,Sampdoria,8,3,11
2008/2009,Siena,9,3,12
2008/2009,Sporting Charleroi,9,3,12
2008/2009,Sunderland,6,3,9
2008/2009,Śląsk Wrocław,8,3,11
2009/2010,1. FC Nürnberg,5,3,8
2009/2010,1. FSV Mainz 05,9,3,12
2009/2010,ADO Den Haag,4,3,7
2009/2010,Arka Gdynia,4,3,7
2009/2010,Beerschot AC,6,3,9
2009/2010,Blackburn Rovers,10,3,13
2009/2010,Bologna,7,3,10
2009/2010,CD Nacional,7,3,10
2009/2010,FC Sion,11,3,14
2009/2010,FC Sochaux-Montbéliard,8,3,11
2009/2010,FC Zürich,9,3,12
2009/2010,Falkirk,3,3,6
2009/2010,Genoa,11,3,14
2009/2010,KSV Cercle Brugge,8,3,11
2009/2010,KV Kortrijk,9,3,12
2009/2010,Kilmarnock,5,3,8
2009/2010,Korona Kielce,6,3,9
2009/2010,N.E.C.,5,3,8
2009/2010,Neuchâtel Xamax,8,3,11
2009/2010,P. Warszawa,6,3,9
2009/2010,Paris Saint-Germain,9,3,12
2009/2010,Piast Gliwice,4,3,7
2009/2010,RC Lens,9,3,12
2009/2010,RCD Mallorca,15,3,18
2009/2010,Real Valladolid,4,3,7
2009/2010,Real Zaragoza,7,3,10
2009/2010,Rio Ave FC,3,3,6
2009/2010,SV Zulte-Waregem,7,3,10
2009/2010,Siena,4,3,7
2009/2010,US Boulogne Cote D'Opale,4,3,7
2009/2010,Villarreal CF,13,3,16
2009/2010,Vitesse,5,3,8
2009/2010,Wigan Athletic,6,3,9
2010/2011,AC Bellinzona,4,3,7
2010/2011,Académica de Coimbra,4,3,7
2010/2011,Bari,2,3,5
2010/2011,CA Osasuna,10,3,13
2010/2011,Excelsior,7,3,10
2010/2011,FC Utrecht,10,3,13
2010/2011,Fiorentina,9,3,12
2010/2011,Fulham,8,3,11
2010/2011,Getafe CF,9,3,12
2010/2011,Grasshopper Club Zürich,7,3,10
2010/2011,Heracles Almelo,11,3,14
2010/2011,Jagiellonia Białystok,11,3,14
2010/2011,Lech Poznań,10,3,13
2010/2011,Levante UD,9,3,12
2010/2011,N.E.C.,7,3,10
2010/2011,NAC Breda,9,3,12
2010/2011,Naval 1° de Maio,2,3,5
2010/2011,RCD Mallorca,9,3,12
2010/2011,Real Sociedad,11,3,14
2010/2011,Real Zaragoza,9,3,12
2010/2011,S.C. Olhanense,4,3,7
2010/2011,SV Zulte-Waregem,4,3,7
2010/2011,Sampdoria,5,3,8
2010/2011,Stoke City,10,3,13
2010/2011,UD Almería,3,3,6
2010/2011,"União de Leiria, SAD",6,3,9
2010/2011,Vitória Setúbal,5,3,8
2010/2011,Wolverhampton Wanderers,8,3,11
2010/2011,Zagłębie Lubin,7,3,10
2011/2012,1. FC Köln,5,3,8
2011/2012,AC Ajaccio,6,3,9
2011/2012,ADO Den Haag,5,3,8
2011/2012,Aberdeen,6,3,9
2011/2012,Académica de Coimbra,4,3,7
2011/2012,Aston Villa,4,3,7
2011/2012,CA Osasuna,10,3,13
2011/2012,Cagliari,6,3,9
2011/2012,Chievo Verona,8,3,11
2011/2012,De Graafschap,3,3,6
2011/2012,Dijon FCO,6,3,9
2011/2012,FC Sochaux-Montbéliard,8,3,11
2011/2012,Hertha BSC Berlin,4,3,7
2011/2012,KRC Genk,10,3,13
2011/2012,KV Mechelen,7,3,10
2011/2012,OGC Nice,7,3,10
2011/2012,Queens Park Rangers,7,3,10
2011/2012,RCD Espanyol,9,3,12
2011/2012,Real Sociedad,9,3,12
2011/2012,Real Sporting de Gijón,7,3,10
2011/2012,SM Caen,6,3,9
2011/2012,SV Werder Bremen,8,3,11
2011/2012,St. Mirren,6,3,9
2011/2012,VfL Wolfsburg,10,3,13
2011/2012,Villarreal CF,6,3,9
2012/2013,1. FSV Mainz 05,7,3,10
2012/2013,ADO Den Haag,6,3,9
2012/2013,CA Osasuna,7,3,10
2012/2013,Catania,12,3,15
2012/2013,Dundee FC,4,3,7
2012/2013,FC Augsburg,5,3,8
2012/2013,GKS Bełchatów,4,3,7
2012/2013,Genoa,5,3,8
2012/2013,Heracles Almelo,6,3,9
2012/2013,KAA Gent,5,3,8
2012/2013,NAC Breda,7,3,10
2012/2013,Oud-Heverlee Leuven,5,3,8
2012/2013,Pogoń Szczecin,7,3,10
2012/2013,RC Celta de Vigo,7,3,10
2012/2013,SC Heerenveen,8,3,11
2012/2013,SV Werder Bremen,5,3,8
2012/2013,Sampdoria,8,3,11
2012/2013,Siena,6,3,9
2012/2013,Southampton,6,3,9
2012/2013,St. Mirren,6,3,9
2012/2013,Stade Brestois 29,5,3,8
2012/2013,TSG 1899 Hoffenheim,5,3,8
2012/2013,VVV-Venlo,3,3,6
2012/2013,Valenciennes FC,9,3,12
2012/2013,Waasland-Beveren,4,3,7
2012/2013,West Ham United,9,3,12
2013/2014,AZ,10,3,13
2013/2014,Elche CF,6,3,9
2013/2014,En Avant de Guingamp,8,3,11
2013/2014,FC Arouca,5,3,8
2013/2014,FC Sion,9,3,12
2013/2014,FC St. Gallen,8,3,11
2013/2014,Genoa,8,3,11
2013/2014,Girondins de Bordeaux,10,3,13
2013/2014,Go Ahead Eagles,7,3,10
2013/2014,Hull City,7,3,10
2013/2014,KV Oostende,1,3,4
2013/2014,Montpellier Hérault SC,5,3,8
2013/2014,Roda JC Kerkrade,4,3,7
2013/2014,Ross County FC,8,3,11
2013/2014,SC Braga,7,3,10
2013/2014,SC Freiburg,6,3,9
2013/2014,St. Mirren,7,3,10
2013/2014,Stoke City,10,3,13
2013/2014,Udinese,9,3,12
2013/2014,Valencia CF,10,3,13
2013/2014,Valenciennes FC,4,3,7
2013/2014,VfB Stuttgart,5,3,8
2013/2014,Vitória Setúbal,7,3,10
2013/2014,West Bromwich Albion,4,3,7
2013/2014,Zawisza Bydgoszcz,8,3,11
2014/2015,1. FSV Mainz 05,6,3,9
2014/2015,Académica de Coimbra,1,3,4
2014/2015,Atalanta,4,3,7
2014/2015,Burnley,4,3,7
2014/2015,CD Nacional,10,3,13
2014/2015,Estoril Praia,6,3,9
2014/2015,FC Schalke 04,10,3,13
2014/2015,FC Thun,10,3,13
2014/2015,GKS Bełchatów,5,3,8
2014/2015,Go Ahead Eagles,4,3,7
2014/2015,Granada CF,4,3,7
2014/2015,Hamburger SV,6,3,9
2014/2015,Hannover 96,6,3,9
2014/2015,Hertha BSC Berlin,6,3,9
2014/2015,Hull City,5,3,8
2014/2015,KV Mechelen,7,3,10
2014/2015,KVC Westerlo,5,3,8
2014/2015,Lechia Gdańsk,8,3,11
2014/2015,Levante UD,6,3,9
2014/2015,Motherwell,7,3,10
2014/2015,NAC Breda,3,3,6
2014/2015,Newcastle United,7,3,10
2014/2015,Piast Gliwice,8,3,11
2014/2015,Pogoń Szczecin,8,3,11
2014/2015,SC Cambuur,8,3,11
2014/2015,SC Paderborn 07,4,3,7
2014/2015,SV Werder Bremen,8,3,11
2014/2015,Sporting Lokeren,7,3,10
2014/2015,Sunderland,4,3,7
2014/2015,TSG 1899 Hoffenheim,9,3,12
2014/2015,West Ham United,9,3,12
2014/2015,Zawisza Bydgoszcz,5,3,8
2014/2015,Śląsk Wrocław,9,3,12
2015/2016,Atalanta,8,3,11
2015/2016,CS Marítimo,7,3,10
2015/2016,Carpi,6,3,9
2015/2016,Eintracht Frankfurt,6,3,9
2015/2016,Excelsior,4,3,7
2015/2016,FC Ingolstadt 04,7,3,10
2015/2016,FC Sion,11,3,14
2015/2016,FC St. Gallen,7,3,10
2015/2016,FC Twente,9,3,12
2015/2016,FC Zürich,4,3,7
2015/2016,GFC Ajaccio,5,3,8
2015/2016,Genoa,10,3,13
2015/2016,Getafe CF,6,3,9
2015/2016,Hannover 96,4,3,7
2015/2016,KRC Genk,11,3,14
2015/2016,KV Mechelen,7,3,10
2015/2016,Lugano,6,3,9
2015/2016,Norwich City,6,3,9
2015/2016,RCD Espanyol,9,3,12
2015/2016,Real Sporting de Gijón,7,3,10
2015/2016,SC Bastia,11,3,14
2015/2016,SD Eibar,8,3,11
2015/2016,Stade de Reims,7,3,10
2015/2016,Sunderland,6,3,9
2015/2016,TSG 1899 Hoffenheim,6,3,9
2015/2016,Termalica Bruk-Bet Nieciecza,5,3,8
2015/2016,Toulouse FC,6,3,9
2015/2016,VfB Stuttgart,6,3,9
2015/2016,VfL Wolfsburg,9,3,12
2015/2016,Willem II,3,3,6
2015/2016,Śląsk Wrocław,5,3,8
2008/2009,AS Saint-Étienne,9,2,11
2008/2009,Académica de Coimbra,8,2,10
2008/2009,Beerschot AC,9,2,11
2008/2009,CA Osasuna,8,2,10
2008/2009,DSC Arminia Bielefeld,2,2,4
2008/2009,De Graafschap,5,2,7
2008/2009,FC Aarau,9,2,11
2008/2009,FC Energie Cottbus,6,2,8
2008/2009,FC Paços de Ferreira,7,2,9
2008/2009,FC Sochaux-Montbéliard,8,2,10
2008/2009,Hannover 96,8,2,10
2008/2009,KSV Roeselare,6,2,8
2008/2009,Lecce,3,2,5
2008/2009,Lechia Gdańsk,7,2,9
2008/2009,Manchester City,13,2,15
2008/2009,Middlesbrough,5,2,7
2008/2009,Napoli,10,2,12
2008/2009,Naval 1° de Maio,5,2,7
2008/2009,Newcastle United,5,2,7
2008/2009,Portsmouth,8,2,10
2008/2009,Rio Ave FC,6,2,8
2008/2009,Roda JC Kerkrade,5,2,7
2008/2009,SM Caen,6,2,8
2008/2009,SV Werder Bremen,10,2,12
2008/2009,Sparta Rotterdam,7,2,9
2008/2009,Stoke City,10,2,12
2008/2009,Trofense,3,2,5
2008/2009,UD Almería,11,2,13
2008/2009,VfL Bochum,5,2,7
2009/2010,AC Bellinzona,5,2,7
2009/2010,Atalanta,7,2,9
2009/2010,Atlético Madrid,11,2,13
2009/2010,Bari,11,2,13
2009/2010,Borussia Mönchengladbach,8,2,10
2009/2010,CF Os Belenenses,2,2,4
2009/2010,Catania,8,2,10
2009/2010,FC Aarau,4,2,6
2009/2010,Jagiellonia Białystok,9,2,11
2009/2010,KSV Roeselare,2,2,4
2009/2010,KVC Westerlo,6,2,8
2009/2010,Le Mans FC,6,2,8
2009/2010,Livorno,5,2,7
2009/2010,Málaga CF,5,2,7
2009/2010,Odra Wodzisław,5,2,7
2009/2010,Polonia Bytom,7,2,9
2009/2010,Portsmouth,5,2,7
2009/2010,RCD Espanyol,9,2,11
2009/2010,Real Sporting de Gijón,7,2,9
2009/2010,Sporting Charleroi,3,2,5
2009/2010,St. Mirren,5,2,7
2009/2010,Sunderland,9,2,11
2009/2010,UD Almería,8,2,10
2009/2010,Vitória Setúbal,3,2,5
2009/2010,Xerez Club Deportivo,6,2,8
2010/2011,1. FC Köln,11,2,13
2010/2011,Birmingham City,6,2,8
2010/2011,Bolton Wanderers,10,2,12
2010/2011,De Graafschap,7,2,9
2010/2011,Feyenoord,10,2,12
2010/2011,Hércules Club de Fútbol,7,2,9
2010/2011,KAS Eupen,3,2,5
2010/2011,OGC Nice,9,2,11
2010/2011,Portimonense,4,2,6
2010/2011,RC Deportivo de La Coruña,8,2,10
2010/2011,RC Lens,5,2,7
2010/2011,Real Sporting de Gijón,9,2,11
2010/2011,SC Beira Mar,5,2,7
2010/2011,SC Heerenveen,8,2,10
2010/2011,Sint-Truidense VV,6,2,8
2010/2011,Valenciennes FC,8,2,10
2010/2011,Vitesse,7,2,9
2010/2011,West Ham United,5,2,7
2011/2012,1. FC Kaiserslautern,2,2,4
2011/2012,1. FSV Mainz 05,7,2,9
2011/2012,Beerschot AC,7,2,9
2011/2012,Blackburn Rovers,6,2,8
2011/2012,Catania,8,2,10
2011/2012,Cesena,2,2,4
2011/2012,FC Augsburg,6,2,8
2011/2012,FC Groningen,8,2,10
2011/2012,Feirense,3,2,5
2011/2012,Genoa,9,2,11
2011/2012,Gil Vicente FC,6,2,8
2011/2012,Grasshopper Club Zürich,5,2,7
2011/2012,Hannover 96,10,2,12
2011/2012,Lierse SK,4,2,6
2011/2012,NAC Breda,8,2,10
2011/2012,Novara,4,2,6
2011/2012,Oud-Heverlee Leuven,5,2,7
2011/2012,Polonia Bytom,9,2,11
2011/2012,RAEC Mons,7,2,9
2011/2012,Siena,7,2,9
2011/2012,Vitória Setúbal,6,2,8
2011/2012,Wolverhampton Wanderers,3,2,5
2012/2013,AC Ajaccio,7,2,9
2012/2013,Académica de Coimbra,4,2,6
2012/2013,BSC Young Boys,9,2,11
2012/2013,Beerschot AC,4,2,6
2012/2013,ES Troyes AC,6,2,8
2012/2013,FC Lausanne-Sports,6,2,8
2012/2013,Fortuna Düsseldorf,5,2,7
2012/2013,Gil Vicente FC,4,2,6
2012/2013,Heart of Midlothian,9,2,11
2012/2013,Lierse SK,3,2,5
2012/2013,Moreirense FC,3,2,5
2012/2013,Newcastle United,9,2,11
2012/2013,Norwich City,8,2,10
2012/2013,Pescara,4,2,6
2012/2013,Queens Park Rangers,2,2,4
2012/2013,RC Deportivo de La Coruña,6,2,8
2012/2013,RCD Mallorca,7,2,9
2012/2013,RKC Waalwijk,7,2,9
2012/2013,Reading,4,2,6
2012/2013,S.C. Olhanense,3,2,5
2012/2013,SC Beira Mar,3,2,5
2012/2013,Servette FC,4,2,6
2012/2013,Stade de Reims,8,2,10
2012/2013,Stoke City,7,2,9
2012/2013,Torino,6,2,8
2012/2013,Widzew Łódź,6,2,8
2013/2014,1. FC Nürnberg,3,2,5
2013/2014,Bologna,3,2,5
2013/2014,CS Marítimo,9,2,11
2013/2014,Cardiff City,5,2,7
2013/2014,FC Paços de Ferreira,4,2,6
2013/2014,FC Sochaux-Montbéliard,8,2,10
2013/2014,Gil Vicente FC,6,2,8
2013/2014,Hamburger SV,5,2,7
2013/2014,Korona Kielce,7,2,9
2013/2014,Livorno,4,2,6
2013/2014,NAC Breda,6,2,8
2013/2014,Norwich City,6,2,8
2013/2014,OGC Nice,10,2,12
2013/2014,Podbeskidzie Bielsko-Biała,4,2,6
2013/2014,RKC Waalwijk,5,2,7
2013/2014,SC Bastia,10,2,12
2013/2014,Wisła Kraków,10,2,12
2013/2014,Śląsk Wrocław,5,2,7
2014/2015,Cracovia,8,2,10
2014/2015,Córdoba CF,1,2,3
2014/2015,Eintracht Frankfurt,9,2,11
2014/2015,Empoli,6,2,8
2014/2015,Excelsior,4,2,6
2014/2015,FC Arouca,5,2,7
2014/2015,FC Penafiel,3,2,5
2014/2015,Gil Vicente FC,2,2,4
2014/2015,Górnik Łęczna,6,2,8
2014/2015,KSV Cercle Brugge,4,2,6
2014/2015,Lierse SK,3,2,5
2014/2015,Queens Park Rangers,6,2,8
2014/2015,RC Deportivo de La Coruña,5,2,7
2014/2015,RC Lens,5,2,7
2014/2015,Real Sociedad,9,2,11
2014/2015,Ruch Chorzów,6,2,8
2014/2015,SC Freiburg,5,2,7
2014/2015,Waasland-Beveren,5,2,7
2015/2016,CD Nacional,8,2,10
2015/2016,De Graafschap,3,2,5
2015/2016,ES Troyes AC,1,2,3
2015/2016,Frosinone,6,2,8
2015/2016,Górnik Łęczna,6,2,8
2015/2016,KV Kortrijk,8,2,10
2015/2016,KVC Westerlo,5,2,7
