team,wins,loses
FC Ingolstadt 04,10,14
GFC Ajaccio,8,17
Karlsruher SC,8,21
Le Havre AC,7,26
Lugano,9,19
Reggio Calabria,6,19
SC Paderborn 07,7,17
Sparta Rotterdam,15,37
Termalica Bruk-Bet Nieciecza,8,13
US Boulogne Cote D'Opale,7,21
Cardiff City,7,22
Córdoba CF,3,24
DSC Arminia Bielefeld,4,14
FC Energie Cottbus,8,20
FC Penafiel,5,22
Feirense,5,16
Fortuna Düsseldorf,7,18
Frosinone,8,23
Hércules Club de Fútbol,9,21
KAS Eupen,5,17
Middlesbrough,7,20
Novara,6,19
Pescara,6,28
Portimonense,6,17
Reading,6,22
Trofense,5,17
Xerez Club Deportivo,8,20
AC Arles-Avignon,3,24
Amadora,8,12
Brescia,7,20
CD Numancia,10,23
CD Tenerife,9,20
Eintracht Braunschweig,6,21
FC Dordrecht,4,22
FC Metz,7,22
FC Volendam,7,19
Tubize,7,21
Uniao da Madeira,7,19
